CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
37001021500,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1834,20,0.0042726,0,4681,R,4681,1,1578.54,0.337222,1066,1,712,1,102.91,0.0561125,4681,1,1578.54,0.337222,1066,1,712,1,102.91,0.0561125,17.5977,0.00375939,6.25168,0.00133554,5.17942,0.00485874,1.93363,0.00271577,0.197727,0.000107812,0,0,0,0,0,0,0,0,0,0
37001021600,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2057,2090,0.301413,1,6934,R,6934,1,2901.98,0.418514,982,1,789,1,39.7573,0.0193278,6934,1,2901.98,0.418514,982,1,789,1,39.7573,0.0193278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021701,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1351,88,0.0271857,0,3237,U,2788,0.86129,437.941,0.135292,681.35,0.994671,502.591,0.539261,26.1955,0.0193897,1957.58,0.604752,281.296,0.0869002,508.633,0.74253,200.917,0.215576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021702,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1801,693,0.1312,0,5282,U,4838.44,0.916024,1725.56,0.326686,701.989,0.842724,564.979,0.859938,133.33,0.0740312,2943.97,0.557359,1457.52,0.275942,272.329,0.326926,230.866,0.351394,78.9683,0.0438469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021703,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2199,67,0.013769,0,4866,U,2939.48,0.604086,757.747,0.155723,669.673,0.661079,424.513,0.592069,14.4664,0.00657862,1342.1,0.275812,339.724,0.0698159,363.293,0.35863,189.972,0.264954,6.08693,0.00276804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021801,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1793,0,0,0,4441,R,4441,1,1416.88,0.319046,1005,1,753,1,85.3271,0.047589,4441,1,1416.88,0.319046,1005,1,753,1,85.3271,0.047589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021802,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1407,0,0,0,3553,R,3553,1,967.567,0.272324,874,1,401,1,28.9457,0.0205726,3553,1,967.567,0.272324,874,1,401,1,28.9457,0.0205726,35.4563,0.00997925,6.84584,0.00192678,9.34248,0.0106893,5.79668,0.0144556,0.259408,0.00018437,0,0,0,0,0,0,0,0,0,0
37001021803,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1130,8,0.0027787,1,2879,R,2879,1,1284.34,0.446105,665,1,380,1,8.84848,0.00783052,2879,1,1284.34,0.446105,665,1,380,1,8.84848,0.00783052,32.5353,0.0113009,18.4431,0.00640607,5.58213,0.00839418,3.45348,0.00908812,0,0,0,0,0,0,0,0,0,0,0,0
37001021901,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1816,0,0,0,4535,R,4535,1,1419.48,0.313005,1098,1,622,1,13.9754,0.0076957,4535,1,1419.48,0.313005,1098,1,622,1,13.9754,0.0076957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021902,NC,Alamance,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1688,0,0,0,4423,R,4423,1,1400.3,0.316596,1104,1,510,1,0,0,4423,1,1400.3,0.316596,1104,1,510,1,0,0,2775.37,0.627485,888.665,0.200919,702.86,0.636649,304.411,0.596884,0,0,0,0,0,0,0,0,0,0,0,0
37001022001,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1342,0,0,0,3319,R,3319,1,725.41,0.218563,734,1,435,1,38.6707,0.0288157,3319,1,725.41,0.218563,734,1,435,1,38.6707,0.0288157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001022002,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1655,0,0,0,4276,R,4276,1,1243.28,0.290757,1081,1,413,1,99.6776,0.0602282,4276,1,1243.28,0.290757,1081,1,413,1,99.6776,0.0602282,0.0587029,0.0000137285,0.0109788,0.00000256754,0.012341,0.0000114162,0.00567017,0.0000137292,0.00212348,0.00000128307,0,0,0,0,0,0,0,0,0,0
37033930100,NC,Caswell,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,974,17,0.0069787,1,2436,R,2436,1,1654.88,0.679345,525,1,373,1,40.2863,0.0413617,2436,1,1654.88,0.679345,525,1,373,1,40.2863,0.0413617,910.761,0.373875,617.245,0.253384,189.299,0.36057,138.432,0.37113,15.5894,0.0160055,0,0,0,0,0,0,0,0,0,0
37033930200,NC,Caswell,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1956,1310,0.224392,1,5838,R,5730.65,0.981612,2935.78,0.502873,986.584,0.978754,921.823,0.982754,258.697,0.132258,5518.15,0.945213,2868.92,0.491422,959.505,0.95189,898.667,0.958067,257.101,0.131442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37033930300,NC,Caswell,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1728,5,0.0012005,1,4165,R,4165,1,1837.86,0.441264,933,1,678,1,85.6649,0.0495746,4148.13,0.995949,1831.8,0.439807,929.203,0.99593,674.365,0.994638,85.3895,0.0494152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37033930400,NC,Caswell,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1041,4,0.0015134,0,2643,R,2643,1,887.305,0.335719,560,1,390,1,68.0339,0.0653544,2643,1,887.305,0.335719,560,1,390,1,68.0339,0.0653544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37033930500,NC,Caswell,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1493,14,0.0036392,0,3847,R,3847,1,1793.38,0.466175,875,1,581,1,94.5552,0.0633323,3847,1,1793.38,0.466175,875,1,581,1,94.5552,0.0633323,1355.04,0.352233,729.638,0.189664,295.908,0.33818,234.813,0.404153,35.8542,0.0240149,0,0,0,0,0,0,0,0,0,0
37033930600,NC,Caswell,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1998,18,0.0037578,0,4790,R,4786.09,0.999184,2089.12,0.436142,987.053,0.999042,794.182,0.998971,111.874,0.0559928,4764.83,0.994746,2082.89,0.43484,982.516,0.994449,790.233,0.994004,111.197,0.0556542,247.401,0.0516494,105.969,0.022123,49.1588,0.0497558,61.4984,0.0773564,5.25296,0.00262911,0,0,0,0,0,0,0,0,0,0
37057060101,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2325,0,0,0,5633,U,5068.47,0.899781,1059.23,0.18804,1404.18,0.890411,449.104,0.937586,18.4462,0.00793384,2214.86,0.393193,434.467,0.077129,540.87,0.342974,283.832,0.592551,6.30431,0.00271153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060102,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2807,0,0,0,7213,R,7039.73,0.975978,956.745,0.132642,1676.12,0.973358,986.125,0.97347,35.6158,0.0126882,6492.67,0.900135,875.719,0.121408,1534.05,0.890851,902.541,0.890958,32.2045,0.0114729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060201,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1939,44,0.0089631,0,4909,R,4909,1,1174.39,0.239233,983,1,857,1,27.7453,0.0143091,4909,1,1174.39,0.239233,983,1,857,1,27.7453,0.0143091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060202,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,919,0,0,0,2424,U,2424,1,668.556,0.275807,567,1,353,1,14.8367,0.0161443,2424,1,668.556,0.275807,567,1,353,1,14.8367,0.0161443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060203,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2243,0,0,0,5528,U,5483.43,0.991937,815.397,0.147503,1262.22,0.994654,776.11,0.986163,90.8378,0.0404983,5061.43,0.915598,771.5,0.139562,1145.98,0.903061,735.81,0.934955,72.545,0.0323429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060301,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1758,0,0,0,4534,U,4117.06,0.908042,351.941,0.0776225,996.662,0.925406,542.662,0.861368,23.215,0.0132053,3060,0.6749,281.661,0.0621219,733.924,0.681452,412.512,0.654781,23.215,0.0132053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060302,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1424,0,0,0,3620,U,3433.78,0.948557,715.255,0.197584,847.247,0.9705,392.519,0.874207,50.1175,0.0351948,3011.56,0.831923,629.29,0.173837,775.029,0.887776,307.1,0.683964,47.8237,0.033584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060303,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1767,0,0,0,4372,R,4372,1,1120.44,0.256277,964,1,640,1,23.4455,0.0132685,4372,1,1120.44,0.256277,964,1,640,1,23.4455,0.0132685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060304,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1327,0,0,0,3445,R,3445,1,626.422,0.181835,874,1,379,1,63.0484,0.047512,3439.34,0.998358,625.479,0.181562,872.803,0.998631,378.021,0.997417,62.8839,0.0473881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060400,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2245,0,0,0,5533,U,4961.83,0.896771,1421.94,0.256992,1100.39,0.885986,759.961,0.914514,75.0439,0.0334271,3862.31,0.69805,1157.42,0.209185,859.776,0.692252,559.601,0.673407,39.9073,0.0177761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060500,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2247,0,0,0,5499,R,5433.48,0.988085,1767.3,0.321386,1164.62,0.982804,896.705,0.997448,103.552,0.0460846,5225.69,0.950298,1715.38,0.311944,1121.3,0.946244,865.871,0.963149,99.8303,0.0444283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060601,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1569,0,0,0,4342,R,4111.18,0.946841,596.578,0.137397,1286.29,0.96135,345.287,0.899186,16.9611,0.0108102,2982.82,0.686968,378.83,0.0872478,942.884,0.704696,238.711,0.621644,15.0067,0.00956448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060602,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1041,0,0,0,2563,R,1994.14,0.778049,445.871,0.173965,458.245,0.745114,358.732,0.820897,13.3939,0.0128664,1126.18,0.439397,234.552,0.0915146,221.323,0.359875,266.487,0.60981,11.134,0.0106955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060700,NC,Davidson,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1910,0,0,1,4915,U,4913.79,0.999753,2526.11,0.513959,1315.7,0.999774,606.642,0.99941,270.064,0.141395,3910.56,0.795637,2042.39,0.415543,1057.33,0.803446,417.414,0.687668,211.305,0.110631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060800,NC,Davidson,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1759,201,0.0442926,1,4538,U,3528.92,0.777638,2266.2,0.499382,941.412,0.724721,493.752,0.703351,232.35,0.132092,1778.5,0.391912,1103.1,0.243081,508.019,0.391085,185.9,0.264815,102.684,0.0583761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057060900,NC,Davidson,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,2159,50,0.0091391,1,5471,U,4955.29,0.905737,2424.55,0.443164,1291.13,0.920918,560.321,0.893654,89.2164,0.041323,2185.06,0.399389,1068.48,0.195298,572.534,0.40837,254.979,0.406665,37.0558,0.0171634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061000,NC,Davidson,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2068,89,0.0172547,1,5158,U,4938.73,0.95749,2597.82,0.503648,1214.12,0.956,711.81,0.945299,137.815,0.0666416,3169.61,0.614503,1774.83,0.344093,828.446,0.652319,422.039,0.560477,91.7375,0.0443605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061100,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2760,50,0.007414,0,6744,U,4973.49,0.73747,1463.01,0.216936,1091.11,0.72935,918.166,0.739264,69.097,0.0250352,3449.59,0.511506,1114.37,0.165239,755.48,0.505,620.939,0.499951,46.1967,0.0167379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061201,NC,Davidson,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2404,62,0.0106092,1,5844,U,4260.77,0.729085,1784.92,0.305427,966.828,0.71195,770.099,0.751316,220.02,0.0915224,2022.14,0.346021,743.76,0.127269,430.169,0.316766,379.945,0.370678,57.4226,0.0238863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061202,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1234,0,0,0,2857,R,2837.43,0.993151,537.679,0.188197,608.695,0.9946,488.76,0.993415,68.4844,0.0554979,2479.93,0.86802,458.606,0.16052,523.642,0.855625,435.47,0.885101,59.7725,0.048438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061300,NC,Davidson,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,867,232,0.106618,1,2176,U,1160.68,0.533401,564.758,0.259539,228.659,0.494932,146.057,0.404589,47.8226,0.0551587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061400,NC,Davidson,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1109,545,0.160388,1,3398,U,1287.67,0.37895,895.345,0.263492,336.524,0.36539,65.661,0.185483,58.4764,0.0527289,2.70091,0.000794853,1.48609,0.000437343,0,0,0.0145995,0.0000412416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061500,NC,Davidson,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,2559,94,0.0151271,1,6214,U,4355.81,0.700966,1953.67,0.314398,986.476,0.655466,819.313,0.753738,202.358,0.0790769,436.973,0.0703207,218.837,0.0352168,71.6903,0.0476348,142.175,0.130796,16.9049,0.00660605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061600,NC,Davidson,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1127,69,0.0235817,1,2926,U,1631.18,0.557476,839.736,0.286991,374.416,0.483117,263.845,0.692507,87.7455,0.0778576,786.062,0.268647,371.596,0.126998,178.696,0.230576,96.934,0.25442,18.1509,0.0161055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061701,NC,Davidson,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1884,90,0.01853,0,4857,U,4857,1,1572.98,0.323859,1175,1,765,1,46.8204,0.0248516,4856.47,0.999891,1572.85,0.323831,1174.77,0.999806,764.943,0.999925,46.819,0.0248509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37057061702,NC,Davidson,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2733,0,0,0,6730,R,6559.96,0.974734,2409.66,0.358048,1541.3,0.976125,858.919,0.968341,89.7261,0.0328306,6145.62,0.913168,2257.05,0.335371,1432.23,0.907048,812.327,0.915814,86.7096,0.0317269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
